input,target
"Thou art as fair in hue as thou dost prove thyself in knowledge, gentle soul.","Thou art as fair in knowledge as in hue,"
"In knowledge, as in hue, art thou most fair and beauteous to behold.","Thou art as fair in knowledge as in hue,"
"As fair in hue dost thou appear, so too art thou in knowledge equally fair and bright.","Thou art as fair in knowledge as in hue,"
And therefore art thou enforced to seek anew that which was lost before.,And therefore art enforced to seek anew
And therefore thou art most grievously enforced to seek anew thy fortunes.,And therefore art enforced to seek anew
"And therefore, being enforced by circumstance, art thou constrained to seek anew.",And therefore art enforced to seek anew
"And do so, I prithee, love; yet when they shall have devised their schemes, mark well what comes to pass.","And do so, love; yet when they have devised,"
"Do so, I beseech thee, love; and yet when they have devised and plotted their course, consider what shall follow.","And do so, love; yet when they have devised,"
"And do so, my love, I say; yet mark me well—when they have devised their plans, what then shall come to thee?","And do so, love; yet when they have devised,"
"Thou, being truly fair, wert truly sympathized withal by all who didst behold thy countenance.","Thou truly fair, wert truly sympathized"
"Truly wert thou fair, and truly sympathized with by those whose hearts were moved to compassion.","Thou truly fair, wert truly sympathized"
"Being truly fair, thou wert truly sympathized by all men, for thy beauty didst stir their deepest sympathies.","Thou truly fair, wert truly sympathized"
And their gross painting might be better used in service to some worthier purpose.,And their gross painting might be better used
"Their gross painting, and the craft thereof, might be better used than it is presently employed.",And their gross painting might be better used
"And if their gross painting might be better used, then wherefore doth it serve such base ends?",And their gross painting might be better used
How far doth a modern quill come too short of that which it ought to achieve!,"How far a modern quill doth come too short,"
"A modern quill, alas, doth come too short—how very far it falleth from sufficiency!","How far a modern quill doth come too short,"
"Too short doth come a modern quill, and how far indeed from excellence it remaineth!","How far a modern quill doth come too short,"
"Than both your poets can in praise devise, there is no greater thing that they might speak.",Than both your poets can in praise devise.
More excellent than what both your poets can devise in their praise and utterance combined.,Than both your poets can in praise devise.
"In praise they cannot devise aught greater than both your poets can, try though they might.",Than both your poets can in praise devise.
"I do think good thoughts, whilst others do write good words in their stead.","I think good thoughts, whilst others write good words,"
"Whilst others write good words, I think good thoughts within my mind.","I think good thoughts, whilst others write good words,"
"Good thoughts occupy my mind, I think, whilst others write good words upon the page.","I think good thoughts, whilst others write good words,"
"To every hymn that able spirit doth affords, most gracefully and willingly","To every hymn that able spirit affords,"
"Every hymn to which that able spirit affords itself, thou shalt attend with reverence","To every hymn that able spirit affords,"
To each and every hymn that any able spirit may affords unto thee with bounty,"To every hymn that able spirit affords,"
In the polished form of a well-refined pen doth the writer's art most eloquently appear.,In polished form of well-refined pen.
"The pen, well-refined and polished in its form, doth produce words of exquisite refinement.",In polished form of well-refined pen.
"Behold the well-refined pen in its polished form, wherein the craft of writing is most perfectly wrought.",In polished form of well-refined pen.
"Then do others, for the breath of words, show respect","Then others, for the breath of words respect,"
For the breath of words do others then hold respect,"Then others, for the breath of words respect,"
"Then others hold respect, I say, for the very breath of words","Then others, for the breath of words respect,"
"Was it his spirit, which by spirits taught did learn to write?","Was it his spirit, by spirits taught to write,"
"By spirits taught to write, was it his spirit that did so accomplish?","Was it his spirit, by spirits taught to write,"
"His spirit, taught by spirits to write, was it not the instrument thereof?","Was it his spirit, by spirits taught to write,"
"My verse, in giving him aid, did leave all astonished.","Giving him aid, my verse astonished."
"Giving him aid through my verse, I astonished all who beheld it.","Giving him aid, my verse astonished."
"By giving him aid, my verse hath astonished the world most wonderfully.","Giving him aid, my verse astonished."
"He, that affable and familiar ghost, doth trouble thee not, nor any soul besides.","He, nor that affable familiar ghost"
"Neither he nor that most affable familiar ghost, which doth appear so courteous and near, shall haunt thee more.","He, nor that affable familiar ghost"
"That affable familiar ghost, he being no more, nor shall it visit thee—nay, not that ghost so friendly in its aspect.","He, nor that affable familiar ghost"
"I was not sick of any fear that did proceed from thence, I say unto thee.",I was not sick of any fear from thence:
"From thence there came no fear of which I was sick, not any fear whatsoever.",I was not sick of any fear from thence:
Not sick was I of any fear that issued forth from thence in those days.,I was not sick of any fear from thence:
"Farewell unto thee, for thou art too dear a treasure for my possessing of thee.","Farewell! thou art too dear for my possessing,"
"Farewell, dear soul! Thou art far too precious and costly for my possessing, I say.","Farewell! thou art too dear for my possessing,"
"Farewell! For thou art grown too dear, and thus too dear for my poor possessing.","Farewell! thou art too dear for my possessing,"
"And like enough, thou knowest well thy estimate of thyself and thy true worth.","And like enough thou knowest thy estimate,"
"And thou dost know, like enough, what thy estimate truly is, for well thou knowest it.","And like enough thou knowest thy estimate,"
"Like enough it is that thou knowest thy estimate, and art acquainted with thy proper valuation.","And like enough thou knowest thy estimate,"
"Upon thy part, I can set down a story of such import as shall move thy heart.",Upon thy part I can set down a story
"A story can I set down upon thy part, for I possess the skill to record thy noble deeds.",Upon thy part I can set down a story
"I can set down upon thy part a story most worthy, that all the world may know thy virtue.",Upon thy part I can set down a story
"In doing thee vantage, I beseech thee to afford me double-vantage in return, for what profiteth thy gain if I receive not twofold benefit?","Doing thee vantage, double-vantage me."
"Thou receivest vantage through my actions, yet I must entreat thee: grant me double-vantage, that the doing may balance betwixt us both.","Doing thee vantage, double-vantage me."
"If doing thee such vantage be my task, then surely thou shouldst recompense me with double-vantage, lest I be cheated of my rightful due.","Doing thee vantage, double-vantage me."
Say unto me that thou didst forsake me for some grievous fault of mine own.,"Say that thou didst forsake me for some fault,"
"Prithee, say that for some fault thou didst forsake and abandon me.","Say that thou didst forsake me for some fault,"
"I beseech thee, say that thou didst for some fault forsake me entirely.","Say that thou didst forsake me for some fault,"
Thou canst not love to disgrace me half so ill as I fear thou might'st.,"Thou canst not love disgrace me half so ill,"
"Canst thou not love me, yet disgrace me half so ill? Nay, it is not possible.","Thou canst not love disgrace me half so ill,"
That thou canst not disgrace me half so ill through love is a mercy I scarce deserve.,"Thou canst not love disgrace me half so ill,"
"Thy sweet beloved name shall dwell no more within the hearts of men, nor find abode in mortal memory henceforth.","Thy sweet beloved name no more shall dwell,"
"No more shall thy beloved sweet name dwell in this world, for it must fade from all remembrance and be forgot.","Thy sweet beloved name no more shall dwell,"
"Thy name, most sweet and beloved, shall dwell in these lands no more, being cast into eternal oblivion from this day forth.","Thy sweet beloved name no more shall dwell,"
"Lest I, being too much given to profane utterance, should do it wrong thereby.","Lest I, too much profane, should do it wrong,"
"Lest I, who art too much profane in my speech, should do it wrong with mine own hand.","Lest I, too much profane, should do it wrong,"
"Lest I, too much corrupted in profane ways, should do it most grievously wrong.","Lest I, too much profane, should do it wrong,"
"For I must never love him whom thou dost so greatly hate, nor shall my heart betray thy wishes thus.",For I must never love him whom thou dost hate.
"Verily, I must never love him whom thou dost hate, for such affection would be grievous betrayal of thy will.",For I must never love him whom thou dost hate.
"For it is that I must never love him whom thou dost hate, having sworn mine eternal duty unto thee.",For I must never love him whom thou dost hate.
"Then hate me, I prithee, when thou wilt it so; if ever such hatred shall come to pass, let it be now, this very moment.","Then hate me when thou wilt; if ever, now;"
"Hate me then, if it be thy pleasure so to do when thou wilt; and if such enmity must ever befall me, I beseech thee let it come upon me now.","Then hate me when thou wilt; if ever, now;"
"Then shall hate me when thou wilt, as is thy desire; if ever this bitter passion must touch my heart, let it be now, I implore thee.","Then hate me when thou wilt; if ever, now;"
"Join thy cruel forces with the spite of fortune, that they may make me bow in submission.","Join with the spite of fortune, make me bow,"
"Make me bow, I beseech thee, when thou dost join thy malice with the bitter spite of fortune.","Join with the spite of fortune, make me bow,"
The spite of fortune shall join with thy dark will to make me bow and bend my stubborn knee.,"Join with the spite of fortune, make me bow,"
"Ah! I do beseech thee, do not, when my heart hath at last 'scaped from this deep sorrow, bring new anguish upon me.","Ah! do not, when my heart hath 'scaped this sorrow,"
"Ah! do not, I pray thee, when my weary heart hath finally 'scaped the chains of this sorrow, wound it anew with fresh pain.","Ah! do not, when my heart hath 'scaped this sorrow,"
"Ah! do not, when my heart hath fortunately 'scaped away from this grievous sorrow, return to torment it further, I do implore thee.","Ah! do not, when my heart hath 'scaped this sorrow,"
"Give not unto a windy night a rainy morrow, I do beseech thee.","Give not a windy night a rainy morrow,"
"A windy night shall not be given a rainy morrow—give it not, I say.","Give not a windy night a rainy morrow,"
"Give not a rainy morrow to a windy night, lest sorrow compound upon sorrow.","Give not a windy night a rainy morrow,"
"When other petty griefs have done their spite upon thee, and all their malice hath been spent","When other petty griefs have done their spite,"
"When other griefs, though petty in their nature, have done their spite and exhausted all their bitter force","When other petty griefs have done their spite,"
When all the other petty griefs have done their spite and finished with their vexing work complete,"When other petty griefs have done their spite,"
"But come thou in the onset, so shall I taste of what doth follow.",But in the onset come: so shall I taste
"In the onset come, I say, but so shall I taste thy measure.",But in the onset come: so shall I taste
But so shall I taste if in the onset thou come forth.,But in the onset come: so shall I taste
"Some men do place their trust and pride in hawks and hounds, whilst others put their faith in horse.","Some in their hawks and hounds, some in their horse;"
"In hawks and hounds do some men find their joy, yet some there be who glory most in horse.","Some in their hawks and hounds, some in their horse;"
"Some doth invest their wealth in hawks and hounds, some in their horse do set their heart and store.","Some in their hawks and hounds, some in their horse;"
"And having thee in my possession, of all men's pride do I boast most loudly and with great spirit.","And having thee, of all men's pride I boast:"
"Of all men's pride, I boast exceedingly, and having thee doth make it so.","And having thee, of all men's pride I boast:"
"Having thee at my side, I boast of all men's pride as mine own greatest treasure and joy.","And having thee, of all men's pride I boast:"
"Wretched art thou in this one thing alone, that thou mayst take what thou dost desire.","Wretched in this alone, that thou mayst take"
"In this alone thou art most wretched, for that thou mayst take whatsoever thy heart doth covet.","Wretched in this alone, that thou mayst take"
"That thou mayst take doth make thee wretched in this alone, and in no other thing besides.","Wretched in this alone, that thou mayst take"
"All of this away doth thou carry, and me most wretched make thereby.","All this away, and me most wretched make."
"Take all this away, I pray thee, and make me most wretched in thy departure.","All this away, and me most wretched make."
"This all away shall go, and leave me most wretched, as thou dost make me so.","All this away, and me most wretched make."
"Then need I not to fear the worst of wrongs, for I am fortified by virtue's shield.","Then need I not to fear the worst of wrongs,"
Then do I not need to fear the worst of wrongs that might befall me in this mortal coil.,"Then need I not to fear the worst of wrongs,"
"Then shall I not need to fear the worst of wrongs, being thus protected by fortune's grace.","Then need I not to fear the worst of wrongs,"
"When in the least of them my life hath come to its end, so shall I perish.",When in the least of them my life hath end.
"In the least of them, when my life doth hath its end, there shall be my final breath.",When in the least of them my life hath end.
"When my life hath reached its end in the least of them, so passes my mortal span.",When in the least of them my life hath end.
"Thou mayst be false, and yet I know it not, for thy deceit is hidden from mine eyes.","Thou mayst be false, and yet I know it not."
"And yet I know it not, though thou mayst be false in thy heart and dealings.","Thou mayst be false, and yet I know it not."
"Thou mayst be false, I confess, and yet such falsehood I know it not, being blind to thy true nature.","Thou mayst be false, and yet I know it not."
"Therefore am I bound in that I cannot know thy change, neither can I perceive the alteration of thy heart.",Therefore in that I cannot know thy change.
"And therefore, in that I cannot know thy change, must I remain forever ignorant of thy transformation.",Therefore in that I cannot know thy change.
"In that I cannot know thy change, therefore do I stand apart, unable to comprehend what thou hast become.",Therefore in that I cannot know thy change.
"It is writ in moods most strange, and frowns, and wrinkles deep upon the countenance.","Is writ in moods, and frowns, and wrinkles strange."
"In moods and frowns and wrinkles strange, the tale is writ for all to see.","Is writ in moods, and frowns, and wrinkles strange."
"Writ it is in wrinkles strange, in frowns, and in the moods that dwell therein.","Is writ in moods, and frowns, and wrinkles strange."
"Thy beauty doth grow even as Eve's apple, how like unto it thou art become.","How like Eve's apple doth thy beauty grow,"
"How doth thy beauty grow, like unto Eve's apple in its most tempting form.","How like Eve's apple doth thy beauty grow,"
"Like Eve's apple doth thy beauty grow and flourish, how wondrous fair art thou.","How like Eve's apple doth thy beauty grow,"
"Though it doth to itself only live and die, spending all its days in solitary existence","Though to itself, it only live and die,"
"To itself alone it doth live and die, though it may endure, for only in its own company shall it pass away","Though to itself, it only live and die,"
"It shall to itself only live and die, though such a creature, bound unto itself, must inevitably expire","Though to itself, it only live and die,"
The basest weed doth outbraves his dignity with shameless audacity.,The basest weed outbraves his dignity:
"His dignity is outbraves by the basest weed, which doth mock him.",The basest weed outbraves his dignity:
"Verily, the basest weed outbraves and surpasseth his dignity most grievously.",The basest weed outbraves his dignity:
"O, what a most spacious and grand mansion have those vices got and made their dwelling place!",O! what a mansion have those vices got
"O! those vices, prithee, what a mighty mansion have they got for their habitation!",O! what a mansion have those vices got
"O, consider well: what a stately mansion have those vices got wherein to lodge themselves!",O! what a mansion have those vices got
"Where doth beauty's veil cover every blot most cunningly, concealing all imperfection beneath her fair disguise",Where beauty's veil doth cover every blot
"Behold the place where beauty's veil doth cover every blot, and naught of flaw remaineth visible to mortal eyes",Where beauty's veil doth cover every blot
"In that region where beauty's veil doth cover every blot with such artful grace, no blemish nor defect may show itself",Where beauty's veil doth cover every blot
"Take heed, I pray thee, dear heart, of this large privilege that doth befall thee.","Take heed, dear heart, of this large privilege;"
"Of this large privilege, dear heart, thou must take heed with utmost care and caution.","Take heed, dear heart, of this large privilege;"
"Dear heart, I do beseech thee, take heed of this large privilege bestowed upon thee.","Take heed, dear heart, of this large privilege;"
"Both grace and faults are loved of more and less, for the virtues and imperfections alike doth find favour in the hearts of the greater and the lesser alike.",Both grace and faults are loved of more and less:
"Of more and less, both grace and faults are loved equally, as both the noble and the humble doth cherish the good qualities and the flaws that reside within.",Both grace and faults are loved of more and less:
Both grace and faults are loved of more and less—the greater and the lesser folk alike doth hold affection for virtues and imperfections both.,Both grace and faults are loved of more and less:
"To things translated into truths, and for those deemed to be true things.","To truths translated, and for true things deemed."
"For true things deemed, and to truths that have been translated hither.","To truths translated, and for true things deemed."
"And for true things deemed worthy, to truths translated from their native form.","To truths translated, and for true things deemed."
"How many lambs might the stern wolf, in his cruel nature, betray unto destruction?","How many lambs might the stern wolf betray,"
"The stern wolf, in his wickedness, how many innocent lambs might he betray?","How many lambs might the stern wolf betray,"
"How many lambs, poor creatures, might the stern and merciless wolf betray with his false counsel?","How many lambs might the stern wolf betray,"
"But do not so; I love thee in such sort, as doth consume my very soul with passion most true.","But do not so; I love thee in such sort,"
But do not so; I love thee in such sort that none other love could match the depth of mine affection.,"But do not so; I love thee in such sort,"
"But do not so; I love thee in such sort as no mortal heart hath ever loved before, with constancy eternal.","But do not so; I love thee in such sort,"
"From thee alone doth flow the pleasure of this fleeting year, that swift and hastening season!","From thee, the pleasure of the fleeting year!"
"The pleasure of the fleeting year—from thee it springs, and thou art the source of such delight!","From thee, the pleasure of the fleeting year!"
"From thee, I say, comes all the pleasure that the fleeting year doth bring unto the world of men.","From thee, the pleasure of the fleeting year!"
"Bearing upon thy shoulders the wanton burden of the prime, that season of youthful excess.","Bearing the wanton burden of the prime,"
"The wanton burden of the prime doth weigh upon thee, and thou art bearing it with all thy strength.","Bearing the wanton burden of the prime,"
"Bearing aloft that wanton burden which is the prime of youth, in all its reckless glory.","Bearing the wanton burden of the prime,"
"When April, that proud-pied month, doth come dressed in all his trim and finest raiment","When proud-pied April, dressed in all his trim,"
"When proud-pied April arrives, bedecked and dressed in all his trim adornments most fair","When proud-pied April, dressed in all his trim,"
"When April, proud-pied and most splendidly dressed in all his trim, doth make his entrance","When proud-pied April, dressed in all his trim,"
"Hath put a spirit of youth in every thing that doth exist, breathing vigor and vitality most rare.","Hath put a spirit of youth in every thing,"
"A spirit of youth hath been put in every thing by his hand, infusing all with tender years and fresh vigor.","Hath put a spirit of youth in every thing,"
"In every thing, a spirit of youth hath been put most cunningly, so that all doth bloom with youthful essence.","Hath put a spirit of youth in every thing,"
"Yet neither doth the lays of birds, nor the sweet smell of flowers, move my heart","Yet nor the lays of birds, nor the sweet smell"
"The lays of birds do not move me, nor yet the sweet smell that doth perfume the air","Yet nor the lays of birds, nor the sweet smell"
"Nor can the sweet smell, nor the lays of birds that sing, stir my weary soul, yet","Yet nor the lays of birds, nor the sweet smell"
"Of flowers that are different in their odour and in their hue, each distinct from the other.","Of different flowers in odour and in hue,"
"Different flowers do present themselves in odour and in hue, of various kinds and appearances.","Of different flowers in odour and in hue,"
"In odour and in hue, these flowers of different sorts do vary, each possessing its own peculiar character.","Of different flowers in odour and in hue,"
"They were but sweet figures of delight, mere shadows of joy and pleasure.","They were but sweet, but figures of delight,"
"But figures of delight were they, sweet in countenance yet insubstantial.","They were but sweet, but figures of delight,"
"Sweet they were, but only figures — mere phantoms of delight and enchantment.","They were but sweet, but figures of delight,"
"As with your shadow did I play with these, even so.",As with your shadow I with these did play.
"With these did I play, as with your shadow I did sport.",As with your shadow I with these did play.
"I with these did play, as thou dost with thy shadow, even as with your own.",As with your shadow I with these did play.
"Thus did I chide the forward violet, speaking unto it with reproving words.",The forward violet thus did I chide:
"The forward violet I did chide in such manner, speaking thus unto that presumptuous flower.",The forward violet thus did I chide:
Did I not chide the violet for being so forward? Thus spake I unto it in reproof.,The forward violet thus did I chide:
"And the buds of marjoram had most cunningly stol'n away thy hair, leaving thee bare.",And buds of marjoram had stol'n thy hair;
"The buds of marjoram, forsooth, had stol'n and adorned themselves with thy hair most thoroughly.",And buds of marjoram had stol'n thy hair;
"And lo, thy hair had been stol'n by the buds of marjoram, which did cling thereunto as if by enchantment.",And buds of marjoram had stol'n thy hair;
"One doth bear blushing shame upon the cheek, whilst another standeth pale and white with deepest despair;","One blushing shame, another white despair;"
"In one there is a blushing shame most red, yet in another white despair doth reign o'er all;","One blushing shame, another white despair;"
"One soul is seized with blushing shame, and yet another wretches white with despair doth sit;","One blushing shame, another white despair;"
"And to his most wicked robbery had he annexed thy very breath, stealing even the air from thy lungs.",And to his robbery had annexed thy breath;
"To his robbery, that villainous theft, had he annexed thy breath, and thus compounded his heinous crime.",And to his robbery had annexed thy breath;
"And unto his robbery had the knave annexed thy breath, adding this final outrage to his catalogue of thefts.",And to his robbery had annexed thy breath;
"Where art thou, O Muse, that thou dost forgetest me so long in thy absence?","Where art thou Muse that thou forgetest so long,"
"Say, where art thou, Muse, that thou forgetest thy poet so very long?","Where art thou Muse that thou forgetest so long,"
"O tell me where art thou, Muse, seeing that thou forgetest us all so long?","Where art thou Muse that thou forgetest so long,"
"In gentle numbers doth time pass away, so very idly spent and wasted thus;",In gentle numbers time so idly spent;
"So idly hath time been in gentle numbers spent, and all thy hours consumed;",In gentle numbers time so idly spent;
"Time, spent in gentle numbers, passeth so idly hence, and is most foolishly consumed;",In gentle numbers time so idly spent;
"Rise now from thy repose, resty Muse, and take survey of my love's sweet face, I prithee.","Rise, resty Muse, my love's sweet face survey,"
"My love's sweet face doth call to thee—rise up, resty Muse, and survey it with thine eyes.","Rise, resty Muse, my love's sweet face survey,"
"Bestir thyself, resty Muse of mine, that thou may'st rise and survey my love's most sweet face.","Rise, resty Muse, my love's sweet face survey,"
"O truant Muse, what amends shall be made by thy hand for this negligence?",O truant Muse what shall be thy amends
"What amends, O Muse most truant, shall be thy recompense and satisfaction?",O truant Muse what shall be thy amends
"O thou truant Muse, what shall thy amends be for this grievous default?",O truant Muse what shall be thy amends
"Make answer, O Muse, I prithee: wilt thou not haply say unto me what I most desperately seek?","Make answer Muse: wilt thou not haply say,"
"Wilt thou not haply make answer, dear Muse, and say what thy heart doth know?","Make answer Muse: wilt thou not haply say,"
"Make thy answer known, sweet Muse, I do beseech thee: wilt thou not haply deign to say?","Make answer Muse: wilt thou not haply say,"
Beauty hath no pencil with which to lay bare beauty's truth unto the world.,"Beauty no pencil, beauty's truth to lay;"
"No pencil doth beauty possess, yet beauty's truth may lay plain for all to see.","Beauty no pencil, beauty's truth to lay;"
"Beauty's truth to lay bare requireth no pencil, for beauty itself doth speak the truth.","Beauty no pencil, beauty's truth to lay;"
"To make him so that he doth much outlive a gilded tomb, his fame shall endure beyond all marble monuments.",To make him much outlive a gilded tomb
"That thou mightest make him to much outlive a gilded tomb, and thereby grant him immortality far greater than any gilded sepulcher.",To make him much outlive a gilded tomb
"To make him much outlive a gilded tomb—for his deeds and memory shall transcend the grandeur of the richest, most gilded tomb that mortal hands could fashion.",To make him much outlive a gilded tomb
"And to be praised of ages yet to be, which shall come after in the fullness of time.",And to be praised of ages yet to be.
To be praised of ages yet to be—and thus to achieve immortal renown among generations not yet born.,And to be praised of ages yet to be.
"And that thou shalt be praised of ages yet to be, when time doth bring forth those generations which are not yet come into this world.",And to be praised of ages yet to be.
"Then do thy office, good Muse, for I teach thee how it must be done.","Then do thy office, Muse; I teach thee how"
"I teach thee how thou shalt proceed; then do thy office, O Muse, I pray.","Then do thy office, Muse; I teach thee how"
"Then, Muse, perform thy office well, as I do teach thee how to serve.","Then do thy office, Muse; I teach thee how"
"My love is strengthened, though it doth appear more weak in seeming to the world.","My love is strengthened, though more weak in seeming;"
"Though in seeming my love appears more weak, yet is it strengthened in truth.","My love is strengthened, though more weak in seeming;"
"My love, though more weak in seeming to outward appearance, is notwithstanding strengthened in its essence.","My love is strengthened, though more weak in seeming;"
"In those days when I was wont to greet it with my lays, as was my custom then.",When I was wont to greet it with my lays;
"When I was wont, in times of old, to greet it with the sweetness of my lays.",When I was wont to greet it with my lays;
"There was a time when I did greet it with my lays, as I was wont to do.",When I was wont to greet it with my lays;
"And therefore, like unto her, do I sometime hold my tongue in silence.","Therefore like her, I sometime hold my tongue:"
"Therefore, being like her in this regard, I sometime do hold my tongue.","Therefore like her, I sometime hold my tongue:"
"Like her therefore, I do sometime hold my tongue, restraining speech.","Therefore like her, I sometime hold my tongue:"
"The argument, being all bare and unadorned, doth possess of more worth than that which is dressed in false finery.","The argument, all bare, is of more worth"
"All bare though it be, the argument is of more worth, stripped of its ornamental pretense and laid plain before thee.","The argument, all bare, is of more worth"
"Of more worth is the argument when all is bare, having cast aside that which doth obscure its true and naked substance.","The argument, all bare, is of more worth"
To mar the subject that before was well? Dost thou intend to spoil that which aforetime stood in goodly state?,To mar the subject that before was well?
"What manner of cruelty is this, to mar the subject that before was well, and thus reduce to ruin what once flourished?",To mar the subject that before was well?
"Wouldst thou dare to mar the subject that before was well, and thereby cast down all that did previously prosper?",To mar the subject that before was well?
"For my verses do tend to no other pass, and to no other destination shall they make their way.",For to no other pass my verses tend
"To no other pass do my verses tend, for it is unto no other place that they are inclined.",For to no other pass my verses tend
"My verses tend for to no other pass, seeing that they shall proceed unto no other threshold whatsoever.",For to no other pass my verses tend
Than to speak forth of your graces and your gifts to tell the world;,Than of your graces and your gifts to tell;
Than to recount and tell of your most excellent graces and your gifts bestowed;,Than of your graces and your gifts to tell;
"Than of your graces and your gifts to tell unto the ears of men, I say.",Than of your graces and your gifts to tell;
"Ah! yet doth beauty, like unto a dial-hand, move ever forward in its appointed course.","Ah! yet doth beauty like a dial-hand,"
"Ah! yet the beauty of this world doth turn, much like a dial-hand that marketh the hours.","Ah! yet doth beauty like a dial-hand,"
"Ah! yet doth beauty move and turn, I say, like to a dial-hand upon the face of time.","Ah! yet doth beauty like a dial-hand,"
"Therefore am I to constancy confined within my verse, which doth remain steadfast and true.","Therefore my verse to constancy confined,"
"My verse, therefore, being confined to constancy, shall never waver nor turn aside from its worthy course.","Therefore my verse to constancy confined,"
"Thus is my verse confined, for therefore to constancy I have bound it, that it might endure forever.","Therefore my verse to constancy confined,"
When thou dost read in the chronicle of wasted time,When in the chronicle of wasted time
"In the chronicle of time most wasted, when shall it be?",When in the chronicle of wasted time
When one doth gaze upon the chronicle of years thus wasted in time,When in the chronicle of wasted time
I do see descriptions of the fairest wights that ever were beheld.,"I see descriptions of the fairest wights,"
"Descriptions of the fairest wights do present themselves unto mine eyes, and I see them most clearly.","I see descriptions of the fairest wights,"
"In sooth, I see what descriptions tell of the fairest wights in all the land.","I see descriptions of the fairest wights,"
"In the praise of ladies dead and of lovely knights, doth the poet speak.","In praise of ladies dead and lovely knights,"
The praise of lovely knights and ladies dead doth flow from mine lips in honour of them.,"In praise of ladies dead and lovely knights,"
"Behold, I do make praise in honour of the lovely knights and the ladies dead.","In praise of ladies dead and lovely knights,"
"Then, in the blazon of sweet beauty's best, doth Nature's finest qualities appear most gloriously displayed.","Then, in the blazon of sweet beauty's best,"
"In the blazon of sweet beauty's best, then art thou witnessing the very pinnacle of all that is sweet and fair.","Then, in the blazon of sweet beauty's best,"
"Then shalt thou behold, in the blazon of sweet beauty's best, the most excellent and wondrous perfection of all grace.","Then, in the blazon of sweet beauty's best,"
"Of hand, of foot, of lip, of eye, of brow — what heavenly parts compose this mortal frame!","Of hand, of foot, of lip, of eye, of brow,"
"The hand doth move, the foot doth tread, the lip doth speak, the eye doth see, and the brow doth furrow — each of these noble members.","Of hand, of foot, of lip, of eye, of brow,"
"Consider well the hand, the foot, the lip, the eye, and the brow, for in each of these doth nature's artistry reveal itself.","Of hand, of foot, of lip, of eye, of brow,"
Can yet the lease of my true love control the very courses of my heart and soul?,"Can yet the lease of my true love control,"
Yet can the lease of my true love control all that I am and ever shall be?,"Can yet the lease of my true love control,"
The lease of my true love can yet control all that my heart doth hold most dear and sacred.,"Can yet the lease of my true love control,"
Supposed to be as a forfeit unto that which is a confined and most terrible doom.,Supposed as forfeit to a confined doom.
As forfeit unto a doom most confined and dreadful art thou supposed to be.,Supposed as forfeit to a confined doom.
"Supposed thou art, as forfeit, to a doom most grievously confined and inescapable.",Supposed as forfeit to a confined doom.
The mortal moon hath endured her eclipse most grievously.,"The mortal moon hath her eclipse endured,"
Her eclipse hath the mortal moon endured with solemn passage.,"The mortal moon hath her eclipse endured,"
"The moon, being mortal in her sphere, hath endured the eclipse that did befall her.","The mortal moon hath her eclipse endured,"
Now doth crown themselves assured these incertainties that were before doubtful.,"Incertainties now crown themselves assured,"
"Behold, incertainties do now crown themselves in assured and certain guise.","Incertainties now crown themselves assured,"
"These incertainties, which now crown themselves assured, have taken on the vestment of certainty.","Incertainties now crown themselves assured,"
"That which may express my love, or else thy dear merit?","That may express my love, or thy dear merit?"
"May that express my love, or doth it thy dear merit declare?","That may express my love, or thy dear merit?"
"That may it be which doth express my love, or thy dear merit shine?","That may express my love, or thy dear merit?"
Each day must I say over the very same words with constancy and care.,I must each day say over the very same;
I must perforce each day say over and repeat the very same thing without change.,I must each day say over the very same;
"Each day doth find that I must say over again the very same, as I have said before.",I must each day say over the very same;
"So that eternal love doth dwell in love's fresh case, wherein it findeth new habitation.","So that eternal love in love's fresh case,"
"In love's fresh case, that so eternal love may rest, encased as it were in virgin form.","So that eternal love in love's fresh case,"
"So that in love's fresh case, eternal love doth find itself anew, preserved in beauty's tender vessel.","So that eternal love in love's fresh case,"
"Just to the time, and not with the time exchanged, dost thou remain steadfast.","Just to the time, not with the time exchanged,"
"Not with the time exchanged, but just to the time, art thou ever constant.","Just to the time, not with the time exchanged,"
"Thou art just to the time, and not with the time exchanged, in thy faithful devotion.","Just to the time, not with the time exchanged,"
"Never believe, I prithee, that though in my nature reigned such qualities, they are true.","Never believe though in my nature reigned,"
"Thou shalt never believe, though in my nature reigned the very essence of such claims, that they hold sway.","Never believe though in my nature reigned,"
"Never, I say, believe this falsehood, though in my nature there reigned what thou might'st think, for it doth not so.","Never believe though in my nature reigned,"
"For I do call nothing this wide universe, in truth and certainty.","For nothing this wide universe I call,"
"This wide universe I call nothing, for it is worthless and void to me.","For nothing this wide universe I call,"
For nothing shall I call this wide universe that doth stretch before me.,"For nothing this wide universe I call,"
"Save thou my rose, for in it thou art my all, the very sum of all my worldly treasures and desires.","Save thou, my rose, in it thou art my all."
"In that thou art my rose, I beseech thee, save it well; for thou art my all, the whole of my being and joy.","Save thou, my rose, in it thou art my all."
"My rose, I do implore thee, save it with care, since in thy preservation thou art my all—my every hope and consolation.","Save thou, my rose, in it thou art my all."
"Alas, it is true, I confess—I have gone hither and thither, wandering here and there throughout these lands.","Alas! it is true, I have gone here and there,"
"It is true, alas! that I, wretched soul, have gone about from here and there, wandering most pitifully.","Alas! it is true, I have gone here and there,"
