input,target,output,MA,SP,G
"Against the cold, those boughs which shake do bend upon the frozen ground in their distress.","Upon those boughs which shake against the cold,",against the cold those boughs which shake do bend upon the frozen ground in their distress,1.0,1.0,0.1442
"In me, good soul, thou seeest the twilight of such day as is now fading into darkness most profound.",In me thou seeest the twilight of such day,in me good seeest soul the thou of twilight such day as is now fading into darkness most profound,1.0,0.9558,0.126
"Thou seeest in me, I say, the twilight of such day—that melancholy hour when light doth flee.",In me thou seeest the twilight of such day,in seeest thou me i the say of twilight such daythat melancholy hour when light doth flee,1.0,0.9752,0.1318
"Behold in me the twilight of such day, which thou dost surely seeest with thine own eyes.",In me thou seeest the twilight of such day,behold in me the of such day which twilight thou dost surely seeest with thine own eyes,1.0,0.9773,0.1632
Without all bail shall carry me away into that dark abyss from which no man returneth.,"Without all bail shall carry me away,",without all bail shall carry me away into that dark abyss from which no man returneth,1.0,1.0,0.1602
"Away shall carry me, without all bail to stay my passage, into the depths unknown.","Without all bail shall carry me away,",away shall carry me without all bail to stay my passage into the depths unknown,1.0,1.0,0.1334
"All bail being absent, away shall carry me without remedy or hope of return.","Without all bail shall carry me away,",all being absent bail away shall carry me without remedy or hope of return,1.0,0.9835,0.1238
"Now art thou proud as an enjoyer, and anon thou shalt be humbled.","Now proud as an enjoyer, and anon",now art thou proud enjoyer as and an thou anon shalt be humbled,1.0,0.9796,0.1316
"Proud as an enjoyer thou art now, and yet anon thy fortune shall turn.","Now proud as an enjoyer, and anon",proud as enjoyer an thou art and now yet anon thy fortune shall turn,1.0,0.9923,0.1317
"Now, proud as one who is an enjoyer, and anon thy pride shall fade away.","Now proud as an enjoyer, and anon",now proud as one who is enjoyer an and anon thy pride shall fade away,1.0,0.9881,0.1294
"Then bettered it, that the world may see my pleasure and know my will manifest.",Then bettered that the world may see my pleasure:,then bettered it the that world may see my pleasure and know my will manifest,1.0,0.9812,0.1394
"That the world may see my pleasure, then bettered I the state of things.",Then bettered that the world may see my pleasure:,the that world may see pleasure my then bettered i the state of things,1.0,0.9005,0.1339
Then bettered was that which the world may see of my pleasure and contentment.,Then bettered that the world may see my pleasure:,then bettered was that which the world may see of my pleasure and contentment,1.0,1.0,0.163
"And by and by, being clean starved for a look, thou dost languish most pitifully.",And by and by clean starved for a look;,and by and being by clean starved a for look thou dost languish most pitifully,1.0,0.9607,0.1252
"By and by, methinks, clean starved for a look shalt thou become, and waste away.",And by and by clean starved for a look;,and by methinks by clean starved a for look shalt thou become and waste away,1.0,0.9568,0.1188
"And by and by, when thou art clean starved for a look from thy beloved, despair doth overtake thee.",And by and by clean starved for a look;,and by and by when thou art clean starved for a look from thy beloved despair doth overtake thee,1.0,1.0,0.1443
"Art thou so far removed from all variation, or any quick change of fortune's wheel?",So far from variation or quick change?,art thou so far removed from variation all or any quick change of fortunes wheel,1.0,0.9941,0.1289
"Dost thou remain so far from variation, or from any quick change that might befall thee?",So far from variation or quick change?,dost thou remain so far from variation or from any quick change that might befall thee,1.0,1.0,0.1496
"How canst thou be so far from variation, or from quick change, when all the world doth shift?",So far from variation or quick change?,canst how thou be so far from variation or from quick change when all the world doth shift,1.0,0.989,0.143
"Why doth it come to pass that I do write still, all one and ever the same, without variation or change?","Why write I still all one, ever the same,",why doth it come to pass that i do write still all one and ever the same without variation or change,1.0,1.0,0.1729
"Ever the same do I remain, and why write I still, all one, in this most constant and unvarying manner?","Why write I still all one, ever the same,",the ever same do i remain and why write i still all one in this most constant and unvarying manner,1.0,0.9921,0.1471
"Tell me, why write I still in all one fashion, ever the same, with no departure from this settled course?","Why write I still all one, ever the same,",tell me why write i still in all one fashion ever the same with no departure from this settled course,1.0,1.0,0.1368
"That every word doth almost tell my name, as though each utterance were a mirror held unto my very soul.","That every word doth almost tell my name,",that word doth tell my name as though each every almost utterance were a mirror held unto my very soul,1.0,0.9584,0.1432
"Every word that passeth from thy lips doth almost tell my name, so near the truth art thou in speech.","That every word doth almost tell my name,",word passeth that from thy lips doth tell every almost my name so near the truth art thou in speech,1.0,0.9629,0.1407
"That every word which doth issue forth almost tell my name, betraying thus the secrets of my heart.","That every word doth almost tell my name,",that word which issue doth forth tell my every almost name betraying thus the secrets of my heart,1.0,0.8801,0.1263
How doth thy dial show thee that thy precious minutes waste away?,Thy dial how thy precious minutes waste;,how doth thy dial show thee that thy precious minutes waste away,1.0,1.0,0.1434
"Thy dial doth reveal, dear friend, how thy precious minutes waste themselves in time's swift passage.",Thy dial how thy precious minutes waste;,thy dial doth reveal dear friend how thy precious minutes waste themselves in times swift passage,1.0,1.0,0.1154
"Behold thy dial, and observe how thy precious minutes waste and slip from thy very grasp.",Thy dial how thy precious minutes waste;,behold and dial thy observe how thy precious minutes waste and slip from thy very grasp,1.0,0.9745,0.1275
"So oft have I invoked thee, crying out in desperate supplication for my Muse, that thou might'st grant me inspiration.","So oft have I invoked thee for my Muse,",so oft have i thee crying out in invoked desperate supplication for my muse that thou mightst grant me inspiration,1.0,0.9743,0.1398
"I have so oft invoked thee for my Muse, calling upon thy divine grace with such frequency that the heavens themselves must tire of my pleas.","So oft have I invoked thee for my Muse,",i have so oft thee for my calling invoked muse upon thy divine grace with such frequency that the heavens themselves must tire of my pleas,1.0,0.9787,0.1392
"For my Muse have I so oft invoked thee in prayer, beseeching thy favour with a constancy that doth speak of my deepest need.","So oft have I invoked thee for my Muse,",for my muse have i so oft thee in invoked prayer beseeching thy favour with a constancy that doth speak of my deepest need,1.0,0.9851,0.153
"As every alien pen hath got my use, so too doth it employ me in its foreign service.",As every alien pen hath got my use,as pen hath got my use so too doth every alien it employ me in its foreign service,1.0,0.9709,0.1355
For every alien pen that hath got my use doth wield it as its own instrument.,As every alien pen hath got my use,for pen that hath got my use doth wield every alien it as its own instrument,1.0,0.9793,0.1262
"Inasmuch as every alien pen hath got my use, it taketh what was mine and maketh it serve its purposes.",As every alien pen hath got my use,as pen hath got my use it taketh inasmuch every alien what was mine and maketh it serve its purposes,1.0,0.9151,0.1563
And with heavy ignorance doth one seek aloft to fly.,"And heavy ignorance aloft to fly,",and heavy with doth one aloft seek ignorance to fly,1.0,0.8679,0.1187
"Heavy ignorance, and yet aloft to fly it doth aspire.","And heavy ignorance aloft to fly,",and heavy yet aloft to fly it ignorance doth aspire,1.0,0.8347,0.1147
"To fly aloft with heavy ignorance, and thus to soar.","And heavy ignorance aloft to fly,",to heavy fly aloft and with thus ignorance to soar,1.0,0.9421,0.1161
Yet be thou most proud of that which I do compile with mine own hand.,"Yet be most proud of that which I compile,",yet be thou most proud of that which i do compile with mine own hand,1.0,1.0,0.1658
"Be most proud, I say, of that which I compile, and yet let thy pride be steadfast.","Yet be most proud of that which I compile,",be most proud i say of that which compile i and yet let thy pride be steadfast,1.0,0.9889,0.126
Yet thou shalt be most proud of that very thing which I compile through my labours.,"Yet be most proud of that which I compile,",yet thou shalt be most proud of very that thing which i compile through my labours,1.0,0.9974,0.1545
"And let the arts be graced with thy sweet graces, which do adorn them most beautifully.",And arts with thy sweet graces graced be;,and let the arts be graced with thy sweet graces which do adorn them most beautifully,1.0,1.0,0.1627
"And arts, I say, shall be most graced with thy sweet graces, which are bestowed upon them.",And arts with thy sweet graces graced be;,and arts i say shall be most graced with thy sweet graces which are bestowed upon them,1.0,1.0,0.157
"And with thy sweet graces let the arts be graced, for thou dost possess such noble qualities.",And arts with thy sweet graces graced be;,and with thy graces sweet the let arts be graced for thou dost possess such noble qualities,1.0,0.9926,0.1407
And my most sick Muse doth give unto an other place her troubled song.,And my sick Muse doth give an other place.,and my most sick muse doth give unto an other place her troubled song,1.0,1.0,0.1218
"My sick Muse, I say, doth give an other place unto her weary voice, and there remaineth.",And my sick Muse doth give an other place.,my sick muse i say doth give other an place unto her weary voice and there remaineth,1.0,0.9979,0.1316
"And doth my sick Muse give an other place, forsaking all her former seat.",And my sick Muse doth give an other place.,and doth my sick muse give an other place forsaking all her former seat,1.0,1.0,0.1326
"I do grant unto thee, sweet love, that thy argument is most lovely and doth move my heart.","I grant, sweet love, thy lovely argument",i do grant unto thee sweet love that thy argument is most lovely and doth move my heart,1.0,1.0,0.1524
"Sweet love, I grant thee this: thy lovely argument hath persuaded me most thoroughly.","I grant, sweet love, thy lovely argument",sweet love i grant thee this thy lovely argument hath persuaded me most thoroughly,1.0,1.0,0.1254
"Thy lovely argument, sweet love, I freely grant unto thee with all my affection.","I grant, sweet love, thy lovely argument",thy lovely sweet love freely i grant argument unto thee with all my affection,1.0,0.9807,0.1181
"Then thank him not for that which he doth say, for his words may deceive thine ear.","Then thank him not for that which he doth say,",then thank him not for that which he doth say for his words may deceive thine ear,1.0,1.0,0.1702
"Then thank not him for that which doth he say, since gratitude ill-befits such utterance.","Then thank him not for that which he doth say,",then thank not him for that which doth he say since gratitude illbefits such utterance,1.0,1.0,0.1383
"Thank him not then for that which he doth say, for the words he speaks deserve no thanks.","Then thank him not for that which he doth say,",thank him not then for that which he doth say for the words he speaks deserve no thanks,1.0,1.0,0.1692
"O, how I doth faint when I do write of you!","O how I faint when I of you do write,",o how i doth faint when i do write of you,1.0,1.0,0.1449
"O, when I write of you, how greatly do I faint!","O how I faint when I of you do write,",o when i write of you how greatly do i faint,1.0,1.0,0.1258
"O, how I faint away when of you I do write!","O how I faint when I of you do write,",o how i faint away when of you i do write,1.0,1.0,0.1286
"To make me tongue-tied, speaking of your fame!",To make me tongue-tied speaking of your fame!,to make tonguetied speaking me of your fame,0.9,0.9732,0.1072
"Speaking of your fame doth make me tongue-tied, to such degree!",To make me tongue-tied speaking of your fame!,of speaking your fame doth make me tonguetied to such degree,1.0,0.9772,0.1248
"The speaking of your fame would make me tongue-tied, to render me thus!",To make me tongue-tied speaking of your fame!,the speaking of your fame would make tonguetied me to render me thus,1.0,0.9943,0.1266
"The humble doth bear as the proudest sail, in measure equal and undiminished.","The humble as the proudest sail doth bear,",the humble doth bear as the proudest sail in measure equal and undiminished,1.0,1.0,0.1377
"As the proudest sail doth bear its burden vast, so too the humble doth bear with noble grace.","The humble as the proudest sail doth bear,",the proudest as sail doth bear burden its vast so too the humble doth bear with noble grace,1.0,0.9894,0.1308
The humble bear their load as steadfast as the proudest sail doth bear upon the water.,"The humble as the proudest sail doth bear,",the humble bear their load as as the steadfast proudest sail doth bear upon the water,1.0,0.9971,0.1291
"My bark, which is saucy in nature yet inferior far to his own vessel, doth sail the seas with lesser might.","My saucy bark, inferior far to his,",my bark which saucy is in nature yet inferior far to his own vessel doth sail the seas with lesser might,1.0,0.9933,0.1413
"Inferior far to his most noble bark am I, with my saucy craft that beareth not the grandeur of his ship.","My saucy bark, inferior far to his,",far to his noble most bark am i inferior with my saucy craft that beareth not the grandeur of his ship,1.0,0.9839,0.1442
"My saucy bark, though it be inferior far when compared to the majesty of his, remaineth yet a worthy vessel.","My saucy bark, inferior far to his,",my saucy bark though it be far when inferior compared to the majesty of his remaineth yet a worthy vessel,1.0,0.9964,0.1454
"He who doth stand of tall building, and whose nature is of goodly pride most manifest.","He of tall building, and of goodly pride:",he who doth stand of building tall and whose nature is of goodly pride most manifest,1.0,0.99,0.144
"A man of tall building is he, and of goodly pride doth he partake in full measure.","He of tall building, and of goodly pride:",a man of building tall is he and of goodly pride doth he partake in full measure,1.0,0.9779,0.1411
"He beareth the qualities of tall building, and of goodly pride doth his countenance shine forth.","He of tall building, and of goodly pride:",the beareth he of building tall and qualities of goodly pride doth his countenance shine forth,1.0,0.9377,0.1448
"The worst of all my sorrows was this most lamentable truth: my love, that which I cherished above all else, did prove to be my own decay and ruin.",The worst was this: my love was my decay.,the worst of all my sorrows was this most lamentable truth my love that which i cherished above all else did prove to be my own decay and ruin,1.0,1.0,0.1719
"This, I confess, was the very worst that could befall me—that my love itself became the instrument of my decay, bringing me to destruction.",The worst was this: my love was my decay.,this i confess the very was worst that could befall methat my love itself became the instrument of my decay bringing me to destruction,1.0,0.9946,0.1447
"Nay, the worst calamity that ever befell me was this cruel circumstance: my love, which should have been my greatest joy, was instead my decay and undoing.",The worst was this: my love was my decay.,the nay worst ever that befell calamity me was this cruel circumstance my love which should have been my greatest joy was instead my decay and undoing,1.0,0.9559,0.157
"Though I, once gone from this mortal realm, must die to all the world and be remembered no more;","Though I, once gone, to all the world must die:",though i once gone from mortal this realm must die to all the world and be remembered no more,1.0,0.9949,0.1433
"Though I must die to all the world once I am gone, yet shall my memory persist;","Though I, once gone, to all the world must die:",though i must die to all the world once i am gone yet shall my memory persist,1.0,1.0,0.1514
Though to all the world I must surely die once I am gone from hence;,"Though I, once gone, to all the world must die:",though to the all world i must surely die once i am gone from hence,1.0,0.9944,0.1551
"Which eyes, not yet created in this world, shall over-read and comprehend with great labour;",Which eyes not yet created shall over-read;,which eyes created not in yet this world shall overread and comprehend with great labour,1.0,0.9926,0.1348
"Eyes not yet created shall, in time to come, over-read that which is written here;",Which eyes not yet created shall over-read;,eyes not created yet in shall time to come overread that which is written here,1.0,0.9894,0.1452
That which eyes not yet created shall hereafter over-read with diligent study and care;,Which eyes not yet created shall over-read;,that which eyes not created yet hereafter shall overread with diligent study and care,1.0,0.9906,0.1309
"I do grant unto thee that thou wert not married to my Muse, neither by bond nor by sacred vow.","I grant thou wert not married to my Muse,",i do grant unto thee that thou wert not married to my muse neither by bond nor by sacred vow,1.0,1.0,0.1719
"Grant I that thou wert never married unto my Muse, for such a union was not meant to be.","I grant thou wert not married to my Muse,",grant i that thou wert never married unto my muse for such a union was not meant to be,1.0,1.0,0.1599
"I grant, in truth, that thou wert not married to my Muse, though it might have been so in another age.","I grant thou wert not married to my Muse,",i grant in truth that thou wert married not to my muse though it might have been so in another age,1.0,0.9873,0.1629
"And therefore mayst thou, without attaint, overlook that which troubleth thee",And therefore mayst without attaint overlook,and thou without mayst overlook attaint therefore that which troubleth thee,1.0,0.9899,0.1298
"Without attaint, therefore mayst thou overlook and pass by judgment upon it",And therefore mayst without attaint overlook,without attaint thou mayst overlook and therefore pass by judgment upon it,1.0,0.9814,0.1401
"And so therefore, without blemish or attaint upon thy soul, mayst thou overlook the matter",And therefore mayst without attaint overlook,and blemish so without upon or therefore attaint thy soul mayst thou overlook the matter,1.0,0.9824,0.1347
"Thou art as fair in hue as thou dost prove thyself in knowledge, gentle soul.","Thou art as fair in knowledge as in hue,",thou art as fair in hue as thou dost prove thyself in knowledge gentle soul,1.0,1.0,0.145
"In knowledge, as in hue, art thou most fair and beauteous to behold.","Thou art as fair in knowledge as in hue,",in knowledge as in hue art thou most fair and beauteous to behold,1.0,1.0,0.1526
"As fair in hue dost thou appear, so too art thou in knowledge equally fair and bright.","Thou art as fair in knowledge as in hue,",as fair in hue dost thou appear so too art thou in knowledge equally fair and bright,1.0,1.0,0.1406
And therefore art thou enforced to seek anew that which was lost before.,And therefore art enforced to seek anew,and art enforced thou to anew seek therefore that which was lost before,1.0,0.9621,0.1238
And therefore thou art most grievously enforced to seek anew thy fortunes.,And therefore art enforced to seek anew,and thou art most enforced anew to therefore grievously seek thy fortunes,1.0,0.9773,0.1198
"And therefore, being enforced by circumstance, art thou constrained to seek anew.",And therefore art enforced to seek anew,enforced and being circumstance by therefore art thou constrained to seek anew,1.0,0.9762,0.1102
"And do so, I prithee, love; yet when they shall have devised their schemes, mark well what comes to pass.","And do so, love; yet when they have devised,",and do so i prithee love yet when they shall have devised their schemes mark well what comes to pass,1.0,1.0,0.1395
"Do so, I beseech thee, love; and yet when they have devised and plotted their course, consider what shall follow.","And do so, love; yet when they have devised,",do so beseech i thee and love yet when they have devised and plotted their course consider what shall follow,1.0,0.9635,0.1461
"And do so, my love, I say; yet mark me well—when they have devised their plans, what then shall come to thee?","And do so, love; yet when they have devised,",and do so my love i say yet mark me wellwhen they have devised their plans what then shall come to thee,1.0,1.0,0.1437
"Thou, being truly fair, wert truly sympathized withal by all who didst behold thy countenance.","Thou truly fair, wert truly sympathized",thou being truly fair wert truly sympathized withal by all who didst behold thy countenance,1.0,1.0,0.1355
"Truly wert thou fair, and truly sympathized with by those whose hearts were moved to compassion.","Thou truly fair, wert truly sympathized",wert truly thou fair sympathized and truly with by those whose hearts were moved to compassion,1.0,0.9891,0.1291
"Being truly fair, thou wert truly sympathized by all men, for thy beauty didst stir their deepest sympathies.","Thou truly fair, wert truly sympathized",fair being truly thou wert truly sympathized by all men for thy beauty didst stir their deepest sympathies,1.0,0.9938,0.153
And their gross painting might be better used in service to some worthier purpose.,And their gross painting might be better used,and their gross painting might be better used in service to some worthier purpose,1.0,1.0,0.1461
"Their gross painting, and the craft thereof, might be better used than it is presently employed.",And their gross painting might be better used,and painting their the gross craft might be thereof better used than it is presently employed,1.0,0.9114,0.1339
"And if their gross painting might be better used, then wherefore doth it serve such base ends?",And their gross painting might be better used,and if their painting gross might better be used then wherefore doth it serve such base ends,1.0,0.987,0.135
How far doth a modern quill come too short of that which it ought to achieve!,"How far a modern quill doth come too short,",how far a modern doth quill come too short of that which it ought to achieve,1.0,0.9753,0.1467
"A modern quill, alas, doth come too short—how very far it falleth from sufficiency!","How far a modern quill doth come too short,",a modern quill alas doth come shorthow too very far it falleth from sufficiency,1.0,0.9892,0.1302
"Too short doth come a modern quill, and how far indeed from excellence it remaineth!","How far a modern quill doth come too short,",too short doth come a modern quill and how far indeed from excellence it remaineth,1.0,1.0,0.1394
"Than both your poets can in praise devise, there is no greater thing that they might speak.",Than both your poets can in praise devise.,than both your poets can in praise devise there is no greater thing that they might speak,1.0,1.0,0.1323
More excellent than what both your poets can devise in their praise and utterance combined.,Than both your poets can in praise devise.,more than what both devise your poets excellent can in their praise and utterance combined,1.0,0.9486,0.1165
"In praise they cannot devise aught greater than both your poets can, try though they might.",Than both your poets can in praise devise.,in praise devise they cannot greater aught than both your poets can try though they might,1.0,0.9758,0.1169
"I do think good thoughts, whilst others do write good words in their stead.","I think good thoughts, whilst others write good words,",i do think good thoughts others whilst do write good words in their stead,1.0,0.9881,0.1261
"Whilst others write good words, I think good thoughts within my mind.","I think good thoughts, whilst others write good words,",whilst others write good words i think good thoughts within my mind,1.0,1.0,0.1408
"Good thoughts occupy my mind, I think, whilst others write good words upon the page.","I think good thoughts, whilst others write good words,",good occupy thoughts my mind i think whilst others write good words upon the page,1.0,0.9494,0.1299
"To every hymn that able spirit doth affords, most gracefully and willingly","To every hymn that able spirit affords,",to hymn affords that able spirit every doth most gracefully and willingly,1.0,0.938,0.1289
"Every hymn to which that able spirit affords itself, thou shalt attend with reverence","To every hymn that able spirit affords,",hymn to affords which able spirit every that itself thou shalt attend with reverence,1.0,0.9478,0.1273
To each and every hymn that any able spirit may affords unto thee with bounty,"To every hymn that able spirit affords,",to each and hymn that any able every spirit may affords unto thee with bounty,1.0,0.9867,0.1234
In the polished form of a well-refined pen doth the writer's art most eloquently appear.,In polished form of well-refined pen.,in form the polished of a pen wellrefined doth the writers art most eloquently appear,1.0,0.9837,0.128
"The pen, well-refined and polished in its form, doth produce words of exquisite refinement.",In polished form of well-refined pen.,the pen wellrefined its and polished form in doth produce words of exquisite refinement,1.0,0.9841,0.122
"Behold the well-refined pen in its polished form, wherein the craft of writing is most perfectly wrought.",In polished form of well-refined pen.,behold the pen wellrefined its in polished form wherein the craft of writing is most perfectly wrought,1.0,0.9888,0.1391
"Then do others, for the breath of words, show respect","Then others, for the breath of words respect,",then others do the for breath of words show respect,1.0,0.9662,0.1086
For the breath of words do others then hold respect,"Then others, for the breath of words respect,",the for breath of words others do then hold respect,1.0,0.98,0.1101
"Then others hold respect, I say, for the very breath of words","Then others, for the breath of words respect,",then others hold respect i say the for very breath of words,1.0,0.9932,0.1091
"Was it his spirit, which by spirits taught did learn to write?","Was it his spirit, by spirits taught to write,",was it his spirit which by spirits taught did learn to write,1.0,1.0,0.1276
"By spirits taught to write, was it his spirit that did so accomplish?","Was it his spirit, by spirits taught to write,",by spirits taught to write was it his spirit that did so accomplish,1.0,1.0,0.1298
"His spirit, taught by spirits to write, was it not the instrument thereof?","Was it his spirit, by spirits taught to write,",his spirit taught by spirits to write was it not the instrument thereof,1.0,1.0,0.1361
"My verse, in giving him aid, did leave all astonished.","Giving him aid, my verse astonished.",my verse in giving him aid did leave all astonished,1.0,1.0,0.1197
"Giving him aid through my verse, I astonished all who beheld it.","Giving him aid, my verse astonished.",him giving aid through my verse i astonished all who beheld it,1.0,0.9848,0.131
"By giving him aid, my verse hath astonished the world most wonderfully.","Giving him aid, my verse astonished.",by giving him aid my verse hath astonished the world most wonderfully,1.0,1.0,0.115
"He, that affable and familiar ghost, doth trouble thee not, nor any soul besides.","He, nor that affable familiar ghost",and he familiar that ghost trouble affable doth thee not nor any soul besides,1.0,0.9585,0.1165
"Neither he nor that most affable familiar ghost, which doth appear so courteous and near, shall haunt thee more.","He, nor that affable familiar ghost",he neither nor that most familiar affable ghost which doth appear so courteous and near shall haunt thee more,1.0,0.9922,0.1473
"That affable familiar ghost, he being no more, nor shall it visit thee—nay, not that ghost so friendly in its aspect.","He, nor that affable familiar ghost",familiar that ghost being he no affable more nor shall it visit theenay not that ghost so friendly in its aspect,1.0,0.9764,0.1271
"I was not sick of any fear that did proceed from thence, I say unto thee.",I was not sick of any fear from thence:,i was not sick of any fear that did proceed from thence i say unto thee,1.0,1.0,0.144
"From thence there came no fear of which I was sick, not any fear whatsoever.",I was not sick of any fear from thence:,from thence there came no fear of which i was sick not any fear whatsoever,1.0,1.0,0.1367
Not sick was I of any fear that issued forth from thence in those days.,I was not sick of any fear from thence:,not sick was i of any fear that issued forth from thence in those days,1.0,1.0,0.1404
"Farewell unto thee, for thou art too dear a treasure for my possessing of thee.","Farewell! thou art too dear for my possessing,",thee unto for thou art too dear a farewell treasure for my possessing of thee,1.0,0.9887,0.1353
"Farewell, dear soul! Thou art far too precious and costly for my possessing, I say.","Farewell! thou art too dear for my possessing,",dear soul thou art far precious too and farewell costly for my possessing i say,1.0,0.9792,0.1078
"Farewell! For thou art grown too dear, and thus too dear for my poor possessing.","Farewell! thou art too dear for my possessing,",for thou art grown too dear and thus too farewell dear for my poor possessing,1.0,0.9916,0.1277
"And like enough, thou knowest well thy estimate of thyself and thy true worth.","And like enough thou knowest thy estimate,",and like enough thou knowest well thy estimate of thyself and thy true worth,1.0,1.0,0.1619
"And thou dost know, like enough, what thy estimate truly is, for well thou knowest it.","And like enough thou knowest thy estimate,",and thou dost know enough like what thy estimate truly is for well thou knowest it,1.0,0.9934,0.1548
"Like enough it is that thou knowest thy estimate, and art acquainted with thy proper valuation.","And like enough thou knowest thy estimate,",enough like it is that thou knowest thy estimate and art acquainted with thy proper valuation,1.0,0.9949,0.1672
"Upon thy part, I can set down a story of such import as shall move thy heart.",Upon thy part I can set down a story,upon thy part i can set down a story of such import as shall move thy heart,1.0,1.0,0.1483
"A story can I set down upon thy part, for I possess the skill to record thy noble deeds.",Upon thy part I can set down a story,a story can i set upon down thy part for i possess the skill to record thy noble deeds,1.0,0.9978,0.133
"I can set down upon thy part a story most worthy, that all the world may know thy virtue.",Upon thy part I can set down a story,i can set down upon thy part a story most worthy that all the world may know thy virtue,1.0,1.0,0.1587
"In doing thee vantage, I beseech thee to afford me double-vantage in return, for what profiteth thy gain if I receive not twofold benefit?","Doing thee vantage, double-vantage me.",in doing vantage thee beseech i thee to afford me doublevantage in return for what profiteth thy gain if i receive not twofold benefit,1.0,0.9957,0.1343
"Thou receivest vantage through my actions, yet I must entreat thee: grant me double-vantage, that the doing may balance betwixt us both.","Doing thee vantage, double-vantage me.",receivest vantage thou through actions my yet i must entreat thee grant me doublevantage that the doing may balance betwixt us both,1.0,0.9795,0.1252
"If doing thee such vantage be my task, then surely thou shouldst recompense me with double-vantage, lest I be cheated of my rightful due.","Doing thee vantage, double-vantage me.",if doing thee such vantage be my task then surely thou shouldst recompense me with doublevantage lest i be cheated of my rightful due,1.0,1.0,0.1432
Say unto me that thou didst forsake me for some grievous fault of mine own.,"Say that thou didst forsake me for some fault,",say unto me that thou forsake didst me for some grievous fault of mine own,1.0,0.9859,0.1938
"Prithee, say that for some fault thou didst forsake and abandon me.","Say that thou didst forsake me for some fault,",prithee say that for some fault didst thou forsake and abandon me,1.0,0.9895,0.1476
"I beseech thee, say that thou didst for some fault forsake me entirely.","Say that thou didst forsake me for some fault,",beseech i thee say that didst thou for some fault forsake me entirely,1.0,0.9598,0.1366
Thou canst not love to disgrace me half so ill as I fear thou might'st.,"Thou canst not love disgrace me half so ill,",canst thou not love disgrace to me half so ill as i fear thou mightst,1.0,0.9556,0.1563
"Canst thou not love me, yet disgrace me half so ill? Nay, it is not possible.","Thou canst not love disgrace me half so ill,",canst thou not love me yet disgrace me half so ill nay it is not possible,1.0,1.0,0.1559
That thou canst not disgrace me half so ill through love is a mercy I scarce deserve.,"Thou canst not love disgrace me half so ill,",that thou canst not disgrace me half so ill through love is a mercy i scarce deserve,1.0,1.0,0.1423
"Thy sweet beloved name shall dwell no more within the hearts of men, nor find abode in mortal memory henceforth.","Thy sweet beloved name no more shall dwell,",thy sweet beloved name shall dwell no within more the hearts of men nor find abode in mortal memory henceforth,1.0,0.9975,0.1407
"No more shall thy beloved sweet name dwell in this world, for it must fade from all remembrance and be forgot.","Thy sweet beloved name no more shall dwell,",no more shall thy beloved sweet name in dwell this world for it must fade from all remembrance and be forgot,1.0,0.9907,0.1464
"Thy name, most sweet and beloved, shall dwell in these lands no more, being cast into eternal oblivion from this day forth.","Thy sweet beloved name no more shall dwell,",thy name most sweet beloved and shall in dwell these lands no more being cast into eternal oblivion from this day forth,1.0,0.9939,0.1447
"Lest I, being too much given to profane utterance, should do it wrong thereby.","Lest I, too much profane, should do it wrong,",lest being i too given much profane to utterance should do it wrong thereby,1.0,0.9782,0.1228
"Lest I, who art too much profane in my speech, should do it wrong with mine own hand.","Lest I, too much profane, should do it wrong,",lest i who art too much profane in my speech should do it wrong with mine own hand,1.0,1.0,0.1619
"Lest I, too much corrupted in profane ways, should do it most grievously wrong.","Lest I, too much profane, should do it wrong,",lest i corrupted too in much profane ways should do it most grievously wrong,1.0,0.958,0.1344
"For I must never love him whom thou dost so greatly hate, nor shall my heart betray thy wishes thus.",For I must never love him whom thou dost hate.,for i must never love him whom thou dost so greatly hate nor shall my heart betray thy wishes thus,1.0,1.0,0.1568
"Verily, I must never love him whom thou dost hate, for such affection would be grievous betrayal of thy will.",For I must never love him whom thou dost hate.,verily i must never love him whom thou dost hate for such affection would be grievous betrayal of thy will,1.0,1.0,0.1589
"For it is that I must never love him whom thou dost hate, having sworn mine eternal duty unto thee.",For I must never love him whom thou dost hate.,for it is that i never must love him whom thou dost hate having sworn mine eternal duty unto thee,1.0,0.9938,0.1508
"Then hate me, I prithee, when thou wilt it so; if ever such hatred shall come to pass, let it be now, this very moment.","Then hate me when thou wilt; if ever, now;",then hate me i prithee when thou wilt it so if ever such hatred shall come to pass let it be now this very moment,1.0,1.0,0.1631
"Hate me then, if it be thy pleasure so to do when thou wilt; and if such enmity must ever befall me, I beseech thee let it come upon me now.","Then hate me when thou wilt; if ever, now;",hate me then if it be thy pleasure so to do when thou wilt and if such enmity must ever befall me i beseech thee let it come upon me now,1.0,1.0,0.2055
"Then shall hate me when thou wilt, as is thy desire; if ever this bitter passion must touch my heart, let it be now, I implore thee.","Then hate me when thou wilt; if ever, now;",then shall hate me when thou wilt as is thy desire if ever this bitter passion must touch my heart let it be now i implore thee,1.0,1.0,0.1636
"Join thy cruel forces with the spite of fortune, that they may make me bow in submission.","Join with the spite of fortune, make me bow,",join cruel forces thy the with spite of fortune that they may make me bow in submission,1.0,0.9855,0.1273
"Make me bow, I beseech thee, when thou dost join thy malice with the bitter spite of fortune.","Join with the spite of fortune, make me bow,",make me bow i beseech thee when thou dost join thy malice with the bitter spite of fortune,1.0,1.0,0.1638
